price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
22400000,"Chembur, Mumbai - Harbour Line, Maharashtra",629,2,2,2,1,2
35000000,"Chembur, Mumbai - Harbour Line, Maharashtra",974,3,2,2,1,2
31700000,"Ghatkopar East, Mumbai - Central Line, Maharashtra",968,3,3,2,1,2
18700000,"Plot Number 283, Road Number 3, Jawahar Nagar, Off S. V. Road, Goregaon (West), Mumbai, Maharashtra, India 400104, Goregaon West, Mumbai - North Mumbai, Maharashtra",629,2,2,2,1,3
13500000,"malad east, Malad East, Mumbai - North Mumbai, Maharashtra",1090,2,2,2,1,2
13000000,"Bhandup, Mumbai, Bhandup, Mumbai - Central Line, Maharashtra",630,2,2,2,1,2
20700000,"Siddharth Nagar, Goregaon West, Mumbai, Goregaon West, Mumbai - North Mumbai, Maharashtra",1188,2,2,2,1,5
22900000,"Goregaon West, Mumbai, Best Nagar - Goregaon West, Mumbai - North Mumbai, Maharashtra",968,3,3,2,1,6
17000000,"Wadala East, Mumbai, Wadala, Mumbai - Harbour Line, Maharashtra",820,2,2,2,1,3
81000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3260,3,3,3,3,4
46000000,"near by nahur station, Mulund West, Mumbai - Central Line, Maharashtra",2500,4,4,2,3,4
34000000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1085,3,3,1,2,3
65000000,"Devle Rd, JVPD Scheme, Juhu, Mumbai, Maharashtra, Juhu, Mumbai - Western Suburbs, Maharashtra",1500,2,2,2,2,2
20300000,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",891,3,3,1,1,4
25000000,"Rajawadi, Ghatkopar east, Ghatkopar East, Mumbai - Central Line, Maharashtra",800,2,2,1,1,2
21000000,"Crompton Greaves Compound, Maharashtra, Kanjurmarg East, Mumbai, Maharashtra, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1020,3,3,2,2,2
102000000,"Rustomjee Seasons Madhusudan Kalelkar Rd near MIG Colony Kala Nagar Bandra East Mumbai Maharashtra 400051, Bandra East, Mumbai - Western Suburbs, Maharashtra",3180,4,4,1,3,2
22500000,"Vazira naka, Borivali West, Mumbai - Western Suburbs, Maharashtra",1000,3,3,1,1,2
19000000,"WING-C, DC Das Marg, P&T Staff Colony, Mulund West, Mumbai, Maharashtra, Mulund West, Mumbai - Central Line, Maharashtra",1058,2,2,2,1,4
15500000,"Swapna Nagari Near Vasant Garden Mulund West, Mulund West, Mumbai - Central Line, Maharashtra",875,2,2,1,2,2
25000000,"Ghatkopar West, Mumbai, Ghatkopar West, Mumbai - Central Line, Maharashtra",1500,3,3,2,1,4
22500000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1600,3,3,1,2,5
55000000,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",2430,4,4,4,2,4
